Norte,1.890.320,1.836.296,1.900.506,1.888.899,1.933.034,1.980.943,1.998.546,2.066.807,2.112.487,2.151.182,2.081.744,2.032.318
Nordeste,5.505.389,5.284.770,5.365.906,5.266.621,5.436.907,5.241.035,5.333.928,5.399.877,5.461.436,5.683.928,5.587.559,5.535.839
Sudeste,17.157.633,17.088.727,17.293.931,17.284.914,17.577.262,17.180.445,17.451.996,17.983.892,17.869.017,18.231.987,18.164.111,16.659.849
Sul,5.491.078,5.689.547,5.723.834,5.604.344,5.382.338,5.368.281,5.419.027,5.520.183,5.412.749,5.481.462,5.441.085,5.366.031
Centro-Oeste,1.811.526,1.831.601,1.834.538,1.907.878,1.970.422,1.972.284,1.946.593,2.042.416,2.108.120,2.124.102,2.137.678,1.965.241
,2007,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ
Norte,1.833.708,1.752.986,1.820.537,1.832.867,1.889.427,1.899.318,1.912.792,1.950.708,1.964.607,2.006.525,1.995.582,1.991.017
Nordeste,5.184.828,4.883.152,4.985.447,5.117.947,5.132.742,5.079.581,5.131.886,5.212.952,5.148.024,5.440.994,5.502.715,5.546.780
Sudeste,16.699.870,16.615.359,17.288.542,17.761.372,17.290.528,16.890.489,16.590.582,16.970.732,17.585.510,17.488.650,17.983.265,17.621.312
Sul,5.203.429,5.351.937,5.424.059,5.404.659,5.219.841,5.114.607,5.056.898,5.194.645,5.157.841,5.240.394,5.294.910,5.333.163
Centro-Oeste,1.777.869,1.721.235,1.794.315,1.913.899,1.850.379,1.782.765,1.809.181,1.852.096,1.879.754,1.959.172,1.878.019,1.812.654
,2006,,,,,,,,,,,
