Região,2025*,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,41.330.507,40.997.020,41.142.395,37.261.936,36.125.863,35.772.668,37.870.441,39.244.021,40.352.399,42.874.414,41.415.474,42.164.424,476.551.562
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,2.894.525,2.836.047,2.815.284,2.629.850,2.656.714,2.708.916,2.898.335,3.035.361,3.085.360,3.160.122,3.007.704,2.991.752,34.719.970
Nordeste,7.128.278,6.811.403,6.935.383,6.361.675,6.359.770,6.238.179,6.532.533,6.528.108,6.828.702,7.350.431,7.035.027,7.110.824,81.220.313
Sudeste,20.157.502,20.028.600,20.221.090,18.064.680,17.378.115,17.315.901,18.381.116,19.324.707,19.785.077,21.224.406,20.377.363,20.807.481,233.066.039
Sul,7.980.475,8.120.195,7.950.412,7.081.306,6.672.169,6.566.359,6.979.429,7.110.003,7.263.502,7.490.578,7.579.250,7.842.893,88.636.571
Centro-Oeste,3.169.727,3.200.775,3.220.225,3.124.424,3.059.095,2.943.313,3.079.028,3.245.842,3.389.758,3.648.876,3.416.130,3.411.475,38.908.669
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,244.792,242.321,258.421,243.519,226.173,226.718,239.861,248.232,264.520,271.478,265.767,265.633,2.997.434
Norte,2.938.356,2.838.344,2.826.208,2.672.450,2.730.799,2.826.972,2.991.221,3.103.326,3.125.072,3.237.951,3.085.089,3.031.145,35.406.932
Nordeste,6.524.173,6.229.232,6.341.576,5.765.781,5.751.684,5.598.225,5.880.554,5.866.497,6.150.274,6.623.228,6.333.987,6.420.343,73.485.555
Sudeste/C. Oeste,23.642.711,23.566.928,23.765.778,21.498.880,20.745.038,20.554.394,21.779.376,22.915.962,23.549.031,25.251.179,24.151.381,24.604.411,276.025.070
Sul,7.980.475,8.120.195,7.950.412,7.081.306,6.672.169,6.566.359,6.979.429,7.110.003,7.263.502,7.490.578,7.579.250,7.842.893,88.636.571
,2019,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,41.816.588,41.325.116,41.309.919,39.885.844,40.658.706,38.612.537,38.484.865,38.808.497,39.466.725,41.283.797,41.994.716,40.951.664,484.598.975
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,2.563.184,2.421.379,2.600.591,2.568.934,2.688.743,2.720.527,2.820.493,2.881.216,2.938.026,2.965.331,2.951.783,2.994.753,33.114.959
Nordeste,6.979.387,6.827.894,7.056.849,6.780.239,7.062.679,6.632.694,6.679.905,6.552.950,6.640.923,7.145.735,7.310.777,7.551.024,83.221.057
Sudeste,21.091.981,20.711.194,20.762.876,19.957.402,20.326.519,19.114.047,18.811.922,19.036.270,19.459.624,20.348.905,20.785.147,19.726.328,240.132.213
Sul,8.028.901,8.158.620,7.785.539,7.495.630,7.405.803,7.087.722,7.111.362,7.200.427,7.061.352,7.377.360,7.547.476,7.471.002,89.731.194
Centro-Oeste,3.153.135,3.206.029,3.104.065,3.083.639,3.174.962,3.057.548,3.061.184,3.137.634,3.366.801,3.446.465,3.399.533,3.208.557,38.399.552
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,235.374,223.485,244.515,254.185,243.778,228.815,238.645,234.551,248.732,264.261,251.565,248.470,2.916.378
Norte,2.601.233,2.473.879,2.634.746,2.576.790,2.739.376,2.803.120,2.883.806,2.970.444,2.986.743,3.033.103,3.048.375,3.103.353,33.854.968
Nordeste,6.395.871,6.254.275,6.474.058,6.206.538,6.449.408,6.009.367,6.048.444,5.905.199,5.978.932,6.478.799,6.631.775,6.854.903,75.687.569
Sudeste/C. Oeste,24.555.208,24.214.857,24.171.061,23.352.700,23.820.342,22.483.513,22.202.609,22.497.875,23.190.967,24.130.273,24.515.525,23.273.936,282.408.866
Sul,8.028.901,8.158.620,7.785.539,7.495.630,7.405.803,7.087.722,7.111.362,7.200.427,7.061.352,7.377.360,7.547.476,7.471.002,89.731.194
,2018,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,40.070.501,39.207.355,41.139.182,40.720.967,39.315.289,38.233.799,38.544.210,39.056.525,39.079.395,40.427.601,40.441.436,40.055.542,476.291.803
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,2.812.898,2.650.539,2.868.573,2.679.314,2.666.895,2.582.787,2.658.452,2.688.994,2.689.093,2.829.919,2.723.638,2.585.260,32.436.361
Nordeste,6.718.801,6.357.334,6.587.721,6.668.104,6.660.480,6.603.193,6.527.352,6.694.636,6.643.931,7.060.111,7.190.633,7.007.459,80.719.755
Sudeste,20.073.680,19.694.491,20.848.628,20.729.772,19.740.642,19.178.177,19.270.395,19.375.885,19.602.206,20.105.240,20.152.702,20.022.600,238.794.417
Sul,7.543.504,7.599.890,7.802.534,7.556.919,7.233.488,6.926.867,7.081.435,7.173.673,6.986.007,7.117.886,7.202.612,7.297.998,87.522.814
Centro-Oeste,2.921.618,2.905.102,3.031.726,3.086.858,3.013.784,2.942.775,3.006.576,3.123.337,3.158.158,3.314.445,3.171.851,3.142.225,36.818.456
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,231.785,230.774,238.314,244.509,235.248,230.089,231.825,249.042,245.815,274.323,265.657,235.615,2.912.995
Norte,2.852.964,2.651.456,2.892.971,2.696.785,2.692.115,2.654.733,2.717.586,2.740.023,2.752.253,2.854.447,2.771.254,2.662.331,32.938.918
Nordeste,6.151.807,5.835.914,6.026.395,6.106.381,6.088.601,6.014.857,5.929.431,6.071.974,6.022.597,6.410.902,6.544.007,6.399.084,73.601.951
Sudeste/C. Oeste,23.290.441,22.889.321,24.178.968,24.116.373,23.065.837,22.407.253,22.583.933,22.821.812,23.072.724,23.770.042,23.657.906,23.460.516,279.315.126
Sul,7.543.504,7.599.890,7.802.534,7.556.919,7.233.488,6.926.867,7.081.435,7.173.673,6.986.007,7.117.886,7.202.612,7.297.998,87.522.814
,2017,,,,,,,,,,,,
,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,ANO
TOTAL BRASIL,39.390.926,38.876.216,40.588.192,39.469.180,38.194.806,38.145.631,37.313.120,37.890.280,39.037.734,39.385.247,39.865.750,39.631.405,467.788.487
REGIÃO GEOGRÁFICA,,,,,,,,,,,,,
Norte,2.766.063,2.556.160,2.795.464,2.721.049,2.934.453,2.891.844,2.882.108,3.041.036,2.983.201,3.056.787,2.965.901,2.915.303,34.509.369
Nordeste,6.698.406,6.349.872,6.797.242,6.568.527,6.678.952,6.598.211,6.386.164,6.508.541,6.517.828,6.877.932,6.912.689,6.910.271,79.804.636
Sudeste,19.686.157,19.583.907,20.172.691,19.877.597,18.885.259,18.859.514,18.392.331,18.499.902,19.351.381,19.442.583,19.915.401,19.748.006,232.414.731
Sul,7.336.983,7.546.357,7.874.809,7.304.948,6.722.502,6.828.027,6.776.855,6.899.718,7.002.470,6.909.221,6.962.420,7.146.416,85.310.727
Centro-Oeste,2.903.317,2.839.920,2.947.985,2.997.059,2.973.640,2.968.034,2.875.662,2.941.083,3.182.854,3.098.724,3.109.339,2.911.409,35.749.024
SUBSISTEMA ELÉTRICO,,,,,,,,,,,,,
Sistemas isolados,232.604,223.112,235.207,227.399,236.395,234.445,229.246,251.033,254.237,259.045,262.710,247.125,2.892.558
Norte,2.784.587,2.571.580,2.805.848,2.747.525,2.929.563,2.911.329,2.912.557,3.057.710,3.017.331,3.105.795,3.011.669,2.987.088,34.842.582
Nordeste,6.162.947,5.839.286,6.257.771,6.030.293,6.134.076,6.038.144,5.827.640,5.907.959,5.891.897,6.233.889,6.277.050,6.281.569,72.882.522
Sudeste/C. Oeste,22.873.805,22.695.881,23.414.556,23.159.015,22.172.270,22.133.685,21.566.822,21.773.860,22.871.799,22.877.297,23.351.901,22.969.207,271.860.098
